Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
The Spider (1931 film),Mystery,"A celebrated magician Chatrand the Great announces at the end of a performance in a radio broadcast that he is searching for the real identity of his assistant, a victim of amnesia who apparently lost his memory after suffering a head wound two years earlier. Beverly Lane answers the appeal, as she believes the man in is her brother. A murder soon follows.",Kenneth MacKenna/ William Cameron Menzies,,,William Sistrom,Edmund Lowe/ Lois Moran/ El Brendel/ John Arledge/ George E. Stone/ Earle Foxe,James Wong Howe,Alfred DeGaetano,,,Fox Film Corporation,"September 27, 1931",59 minutes,,
The Spider Woman,Mystery,"Consulting detective Sherlock Holmes fakes his own death in Scotland in order to investigate a number of bizarre apparent suicides that he is convinced are part of an elaborate plot by ""a female Moriarty"". Returning to his assistant Dr. Watson in secret, Holmes notes that all the victims were wealthy gamblers, so disguised as ""Rajni Singh"", a distinguished Indian officer, he stalks London's gaming clubs.
It is not long before he encounters the archvillain, Adrea  Spedding. Holmes discovers that she seeks out men short of money, persuades them to pawn their life insurance policies with her accomplices, then kills them. Holmes sets himself up as her next victim, discovering that she uses the deadly spider, Lycosa Carnivora, whose venom causes such excruciating pain that the victims kill themselves. Holmes also finds the footprint of a child nearby.
Searching for evidence Holmes and Watson visit eminent arachnologist Matthew Ordway, who may have supplied the deadly creatures. Holmes soon realizes that the man he is speaking to is an impostor, but the man makes his escape. Searching the premises, Holmes finds the corpse of the real Ordway, as well as his journals, which allude to something or someone from Central Africa immune to the spider venom. This baffles Holmes until he finds the model skeleton of a child. However, Dr. Watson points out that the relation of the skull and the circumference of the chest prove it is not a child, and Holmes deduces that the Central African thing described in the journal is a pygmy.
Holmes and Watson continue their investigations at a nearby fairground, where Holmes allows himself to fall into the clutches of Spedding and her gang. Bound and gagged, Holmes is tied behind a moving target in a shooting gallery, at which Inspector Lestrade and Watson take pot shots with a  .22 rifle. However Holmes manages to escape, and Lestrade and the police arrest Spedding, her gang, and the pygmy. As an indication of respect for her intellect, Holmes tells Lestrade to spare Spedding the indignity of handcuffs, saying ""she'll go quietly"" (to which Spedding appreciatively smiles and thanks Holmes for).",Roy William Neill,Bertram Millhauser,,Roy William Neill,Basil Rathbone/ Nigel Bruce/ Gale Sondergaard,Charles Van Enger,William Austin,Hans J. Salter,,Universal Pictures,"December 10, 1943",62 minutes,,
The Spiral Staircase (1946 film),Mystery,"In a small village in 1906 Vermont, the mute Helen attends a silent film screening in the parlor of a local inn. During the screening, a crippled woman staying at the inn is murdered in her room by a man hiding in the closet; her murder is the third in a string of serial killings in the community. Dr. Parry, a friend of Helen's, drives her to the Warren home, a large estate outside town where Helen is employed as a live-in companion for the bedridden Mrs. Warren. Also residing in the house are Mrs. Warren's stepson Albert, a local professor; her son, Steven; and a live-in staff: Mrs. Oates, a housekeeper; her husband Mr. Oates, a handyman; Blanche, a secretary who is having an affair with Steven; and Nurse Barker, Mrs. Warren's verbally-abused nurse.
At the house, a cloaked figure watches from the woods as Helen ascends the driveway. Inside, Helen finds Mrs. Oates in the kitchen, who discusses the murder and expresses fear for Helen, as the killer appears to be targeting ""defenseless"" women. While walking up the staircase, Helen pauses in front of a mirror to examine herself, and while doing so, the eye of an unknown person watches her from the shadows. In the midst of a rainstorm, the constable stops by and warns Albert to keep watch over Helen. After Mrs. Warren loses consciousness, Dr. Parry is summoned to the home. Nurse Barker discovers a bottle of ether has gone missing, and Albert sends Mr. Oates to retrieve some in town. Meanwhile, Mrs. Warren regains consciousness, and urges Dr. Parry to take Helen with him. He offers to take Helen to Boston and help her work through the trauma of her parents' death, which triggered her muteness. She agrees to go, and Dr. Parry makes plans to return later in the evening after completing another house call.
After an argument with Steven, Blanche asks Helen if she can leave with her that night. Helen agrees, and Blanche goes to the basement to retrieve her suitcase, where she is attacked and murdered. Helen later finds her corpse in the basement, and is confronted by Steven. Frightened that he is responsible, she locks him in a closet and flees upstairs. She attempts to wake Mrs. Oates who has passed out, drunk on brandy. Helen attempts to call Dr. Parry, but is unable to speak to the telephone operator.
Albert finds Helen frantic, and she writes on a notepad that Blanche has been murdered. As he follows Helen up the staircase to Mrs. Warren's room, Albert confesses to killing Blanche out of jealousy. He then reveals himself as the serial murderer, professing his goal of killing the ""weak and imperfect of the world."" Helen flees in terror, locking herself in Mrs. Warren's bedroom, where she finds Mrs. Warren unconscious. Meanwhile, the constable returns to the house, and is answered at the front door by Albert; he leaves a message for Helen letting her know that Dr. Parry is unable to return that night, and that they will have to go to Boston the following day. As the constable leaves, Helen attempts to get his attention by smashing the bedroom window, but he is unable to hear it amidst the wind and thunder. Helen returns to the basement to free Steven, but finds Albert waiting in hiding. He chases her as she ascends the staircase to the second floor, but the two are met by Mrs. Warren, armed with a gun. Mrs. Warren shoots Albert multiple times in the chest, killing him, and in the midst of the gunfire, Helen screams in horror.
Mrs. Warren orders Helen to retrieve Steven, and she frees him from the basement closet. Mrs. Warren embraces Steven, and dies on the staircase in his arms. Downstairs, Helen emotionally calls Dr. Parry on the telephone—she is now able to fully speak.",Robert Siodmak,,,Dore Schary,Dorothy McGuire/ George Brent/ Ethel Barrymore,Nicholas Musuraca,Harry Marker/ Harry Gerstad,Roy Webb,,RKO Radio Pictures,"February 6, 1946",84 minutes,"$750,000",$2.8 million (U.S. rentals)
Spy Kids: All the Time in the World,Mystery,"OSS agent Marissa Wilson is attempting to capture a criminal named Tick Tock, who purchases a mini-disk stolen from the OSS. Despite being nine months pregnant, she continues her pursuit against the admonitions of her boss Danger D'Amo. Tick Tock is captured and the mini-disk, which contains information on a weapon of mass destruction called Project: Armageddon, is retrieved.
At the hospital, Marissa meets her spy-hunting TV host husband, Wilbur, and her two stepchildren, twins Rebecca and Cecil. Marissa gives birth to a daughter, Maria. A year later, Wilbur has created a 5-year plan in which if his show is successful, he will spend more time with the kids. Rebecca does not accept Marissa as a replacement for her deceased mother and delights in playing pranks on her. Attempting to strengthen her rapport with Rebecca, Marissa gives her a red-sapphire necklace. The media reports that time is speeding up at an increasing rate.
A criminal mastermind called the Time Keeper claims responsibility, saying that he will unleash Project: Armageddon as a punishment upon a society that he believes wastes time with meaningless pursuits instead of treasuring time with their loved ones. The Time Keeper demands that Tick Tock bring him the Chronos Sapphire, which is revealed to be the jewel in the necklace Marissa gave to Rebecca. The OSS calls Marissa out of retirement and instructs her to bring the Sapphire with her. When Marissa asks for it from Rebecca, it further strains their relationship.
At OSS Headquarters, Marissa discovers that Rebecca has swapped out the Chronos Sapphire for baby food. Tick Tock's henchmen break into Marissa's house, and Rebecca and Cecil are directed to take refuge in a Panic Room, where they view a video of Marissa informing them of her secret career and that their dog Argonaut is a talking, weaponized robot. The twins escape and go to OSS headquarters, where Marissa's niece and their step-cousin, Carmen Cortez, gives the twins a tour of the defunct Spy Kids Division, allowing them to take a gadget as a souvenir each.
The twins go after the Time Keeper, where their search leads them to a clock shop, which is Tick Tock's headquarters. The twins view a video of the Wells Experiment, which reveals the nature of the Chronos Sapphire in Rebecca's necklace, as it saves a boy frozen in time by the experiment. The twins are captured by Tick Tock but are rescued by Marissa and Carmen, though Tick Tock manages to steal the Sapphire. Wilbur begins an investigation to capture his first spy and unknowingly captures footage of his family fighting off the Time Keeper's henchmen.
Shocked to learn that Marissa is a spy, he gets fired when he destroys the footage that he and his cameraman filmed of the battle and becomes estranged from Marissa and the children. As time continues to speed up, OSS agents are debriefed on the Wells Experiment. The OSS shut down the experiment and place the device under lockdown. Among the agents assigned to the case is Carmen's estranged brother, Juni Cortez. The twins confront Danger over the fact that his watch is similar to the one worn by the Time Keeper, and his name is an anagram of ""Armageddon"".
He reveals that he is the Time Keeper and imprisons them in their room. When a group of OSS agents led by Marissa, Carmen, and Juni return to the clock shop to confront the Time Keeper, he freezes the agents in time using circuitry in their ID badges and does the same to 18 major cities. Juni, who wasn't frozen due to Carmen angrily throwing away his ID badge into the trash, manages to free Marissa and Carmen. Danger reveals the Armageddon Device was created to travel back in time and that his father was head of the Wells Experiment, and he was the boy frozen in time.
His father spent the rest of his life trying unsuccessfully to set him free. The OSS managed to shut down the experiment with a solution that ""literally fell from the sky"", the Chronos Sapphire. Now, Danger plans to use the Armageddon Device to go back in time to spend more time with his father. Cecil deduces that Danger has already tried this before multiple times, but he comes back worse each time and reveals that Tick Tock and his minions are all versions of himself. Rebecca tells Danger that he should use what time he has wisely instead of trying to acquire more.
Danger enters the finally open time vortex and goes to finally meets his father, then he returns as an elderly form of himself and realizes that Cecil was right.  He shuts down the device, and Tick Tock is apprehended by Wilbur, who is reunited with Marissa and the children, promising he won't wait to have time for them, instead he will make time for them. Carmen and Juni announce they will co-lead a revived Spy Kids program, while Rebecca and Cecil become recruiters of new agents, including the kids watching the movie.",Robert Rodriguez,Robert Rodriguez,,Elizabeth Avellán/ Robert Rodriguez,Jessica Alba/ Joel McHale/ Alexa Vega/ Daryl Sabara/ Rowan Blanchard/ Mason Cook/ Ricky Gervais/ Jeremy Piven,Robert Rodriguez/ Jimmy Lindsey,Dan Zimmerman,Robert Rodriguez/ Carl Thiel,,The Weinstein Company,,89 minutes,$27 million,$85.6 million
The Star Chamber,Mystery,"Judge Steven Hardin (Michael Douglas) is an idealistic Los Angeles judge who becomes frustrated when the technicalities of the law prevent the prosecution of three criminals. The first is a man who was charged with murdering several elderly women for their welfare money. The second and third are two men who were accused of raping and killing a young boy named Daniel Lewin as part of a suspected child pornography ring.
The suspected child murderers, Lawrence Monk and Arthur Cooms, attracted the attention of two police officers when they were driving slowly late at night. The police officers suspected that the van's occupants might be burglars. After checking the license plate for violations, the officers pulled the van over for expired paperwork. They also claimed to have smelled marijuana, and then saw a bloody shoe inside the van. However, the reason for stopping the van turned out to be spurious: the paperwork was actually submitted on time (it was merely processed late). Since the traffic stop was illegal, based on the fruit of the poisonous tree doctrine, Hardin has no choice but to exclude any evidence discovered as a result of the traffic stop, including the bloody shoe. Hardin becomes even more distraught when Daniel's father, Dr. Harold Lewin, attempts to shoot Monk and Cooms in court, but misses and shoots one of the arresting officers instead; Dr. Lewin is arrested.
While on a visit to Dr. Lewin, Hardin learns that another boy had been discovered by the police, raped and murdered in the same manner as Daniel. Outraged, Hardin visits his friend, Judge Caulfield (Hal Holbrook), who tells him of the existence of a modern-day Star Chamber, a group of judges that identifies criminals who cannot be brought to justice through the judicial system, and takes action against them using a hired assassin. As there is a vacancy present (one of the judges, James Culhane, had committed suicide earlier), Hardin participates in two of the Star Chamber proceedings, and the assassin is dispatched to kill two other unrelated murderers who were released on technicalities despite their own confessions. After receiving a phone call that Dr. Lewin has committed suicide by overdosing on sleeping pills while in jail, Hardin contracts the assassin to murder Monk and Cooms. Police detective Harry Lowes (Yaphet Kotto) learns from a car thief named Stanley Flowers that three men were actually responsible for the crime.
While at a party, Hardin learns about the new evidence. Realizing that he and the Star Chamber have just sentenced Monk and Cooms to die for a crime that they did not commit, Hardin implores the Star Chamber to recall the assassin, but is told by the other judges that the hit cannot be canceled. For the judges' protection, there is a cut-out between them and the assassin; they do not know who he is, and he doesn't know who they are. They tell Hardin that, although an occasional mistake is inevitable and regrettable, what they are doing still serves society's greater good. They argue that Monk and Cooms are clearly criminals who are guilty of numerous other crimes, even if they are not guilty of the specific crime for which the group convicted them.
Hardin makes it clear that he does not accept their reasoning, and Caulfield warns him to back down because the members of the group will do whatever they have to in order to protect themselves. Hardin decides to make an effort to stop Monk and Cooms from being killed, so he tracks down the men in an abandoned warehouse and attempts to warn them. However, Hardin has stumbled across an illegal drug operation, and they don't believe him. They attack Hardin, but the hitman, disguised as a police officer, arrives and kills both of them before they can kill Hardin. The hitman prepares to kill Hardin, but Lowes arrives at the last moment and kills the hitman.
Finally, as the Star Chamber decides another ""case"" without Hardin, Hardin sits with Lowes outside in a car, recording their conversation.",Peter Hyams,,Roderick Taylor,Frank Yablans,Michael Douglas/ Hal Holbrook/ Yaphet Kotto/ Sharon Gless,Richard Hannah,James Mitchell,Michael Small,,20th Century Fox,"August 5, 1983",108 minutes,$8 million,$5.6 million
Star of Midnight,Mystery,"New York lawyer and playboy Clay ""Dal"" Dalzell (William Powell) is asked by old friend Tim Winthrop (Leslie Fenton) to locate his girlfriend Alice, who mysteriously disappeared in Chicago a year ago. Winthrop cannot stop thinking about her and believes she is in New York.
Along with Donna Mantin (Ginger Rogers), who has romantic designs on him, ""Dal"" attends a hit stage show called ""Midnight"" that stars a masked actress, Mary Smith (Bess Flowers), who vanishes in mid-performance when Winthrop recognizes her and blurts out the name Alice.
Gossip columnist Tommy Tennant (Russell Hopton) claims to have discovered a vital clue to the mystery, but before he can reveal it, he is shot in Dal's suite. Dal is the main suspect, but Inspector Doremus (J. Farrell MacDonald) does not believe him to be guilty, and gives the resourceful lawyer the freedom to investigate on his own.
Dal negotiates with gangster Kinland to retrieve letters embarrassing to Donna. When he gets them (using a bit of blackmail), he is annoyed to discover that they actually belong to a friend of Donna's.
Dal is visited by an old flame, Jerry (Vivien Oakland), now wed to a lawyer named Classon (Ralph Morgan). Classon, it turns out, is also searching for Alice; she can provide an alibi for his client, convicted of a murder in Chicago.
Dal sets up a trap in a Greenwich Village apartment, pretending to have located the missing Mary there and notifying each of the suspects that she is leaving there to meet him at his suite. He reasons that those who are innocent will go to his suite, while the murderer heads to the apartment to silence Mary.
The killer indeed turns up, in disguise, putting Dal and Donna in grave danger. Fortunately, Dal and Inspector Doremus are able to subdue the culprit. It is Robert Classon. It turns out that Jerry had carried on affairs, first with the Chicago murder victim, then with his accused killer. Robert Classon killed one of his wife's lovers and tried to frame the other. To achieve the latter, he also needed to silence Alice, unaware that she had fled to avoid testifying. She hated the convicted man for ruining her father.
With everything wrapped up, Dal finally gives in and marries Donna.",Stephen Roberts,Howard J. Green/ Edward Kaufman,,Robert Arthur,William Powell/ Ginger Rogers,J. Roy Hunt,Arthur Roberts,Max Steiner,,,"April 19, 1935",90 minutes,"$280,000","$831,000"
The Star Reporter (1921 film),Mystery,"After her father has been declared insane and confined in a sanatorium, Nan Lambert begins to investigate with the assistance of an undercover reporter. Eventually they expose the man behind the whole scheme.",Duke Worne,,,,Billie Rhodes / Truman Van Dyke / William T. Horne,,,,,Arrow Film Corporation,April 1921,60 minutes,,
Static (2012 film),Mystery,"Jonathan Dade (Ventimiglia), a novelist, and his wife Addie (Shahi) live in a large house in the middle of nowhere. Their three-year-old son died in an accident some time ago and they are having a hard time forgiving themselves and moving on. One night, a strange woman named Rachel (Paxton) comes knocking on their front door, saying that her car broke down and that she was being followed by strange figures wearing gas masks. Jonathan and Addie are kind and take her in for the night. Some time later, intruders come to the house and take Rachel away. Then they come after Jonathan and Addie.
Jonathan and Addie flee from largely invisible intruders wearing gas masks and hoodies. Then they leave the house, run into the garden, then into the garage, then into the forest, and back to the house again. It is revealed at the end that Jonathan and Addie are ghosts and later, we realize that Rachel and her gas-masked crew are something like ghost hunters who clean haunted houses from spirits that won't leave.",Todd Levin,John Suits/ Gabriel Cowan,,Gabriel Cowan,Sara Paxton/ Sarah Shahi/ Milo Ventimiglia,,,,,,"November 1, 2012",83 minutes,,
Stolen (2009 American film),Mystery,"The police officer Tom Adkins Sr. loses his son while briefly leaving him in a bar. Eight years later, he is still struggling with the loss when he and his wife, Barbara get a call that a child’s body has been discovered buried within a suitcase at a construction yard. They assume that their son has been found, but the police forensics unit determines the remains are 50 years old. Seeking redemption from his own son’s disappearance, Tom takes on trying to solve the death of this unidentified child.
In 1958, Matthew Wakefield divorced his wife and leaves his elder sons with his sister Cora, and her husband Jonas. Cora won’t take care of Matthews son, John, because of his cognitive disabilities and so Matthew takes him with as he goes out to look for work.
Matthew finds work at a construction site in a small town, where he finds friends among the fellow laborers, The Swede and Diploma. While out at the bar one night with his friends and son, Matthew meets Rose Montgomery, the wife of a local gas-station owner.  Rose seduces Matthew and takes him out behind the bar while John disappears from the car where Matthew had left him sleeping.
Back in the present, Tom is attempting to piece together the details about what happened 50 years ago, despite few surviving witnesses. Matthew's wife, Sally Ann Wakefield, tells Tom that Matthew could never get rid of his own guilt and that John's disappearance may have something to do with Roggiani, the only person who helped Matthew to look for his son.
In 1958, the police chief thinks that Matthew is exaggerating and threatens to expose his affair with Rose to her husband. Diploma seemingly helps Matthew search the town, but his behavior is unusual and when Matthew is away, Diploma is seen putting nails into an old suitcase. Meanwhile, Matthew goes to Rose’s house and threatens her husband, who disparages John and calls him retarded.
In the present, Tom is growing increasingly obsessed with the case and its similarities to his own son’s disappearance. Sally Ann shows Tom an old photograph of Matthew, John, and Roggiani, who Tom identifies as Diploma. Tom confronts Diploma about what happened in the spring of 1958.
Diploma reveals he used to work at the building site with Matthew and admits to killing John because he felt the boy was destroying Matthew's life. Diploma says that that boy should have never been born at all. During the interrogation, Tom pushes Diploma, who admits to another killing where he found a boy who had wandered into a fairground where Diploma was playing a clown. He recounts taking the boy and breaking his neck under a tree. It is implied that this was Tom’s son.
In the conclusion, Tom has solved both murders and recovers the body of his son, buried in the ground under Diploma’s mobile home. At the funeral, Tom leans in on his wife and allows himself to break down and cry.",Anders Anderson,Glenn Taranto,,Anders Anderson/ Al Corley/ Josh Lucas/ Devin Maurer/ Bart Rosenblatt/ Andy Steinman,Josh Lucas/ Jon Hamm/ Rhona Mitra/ James Van Der Beek,Andy Steinmann,Anders Anderson,Trevor Morris,,IFC Films,,,,"$7,943 (United States)"
Stolen Secrets,Mystery,"As described in a film magazine, the exploits of the gentleman crook known as the Eel (Rawlingson) were puzzling the police and matters came to a showdown before the mayor (Davis) when the chief of police (Girard) declared that the underworld was protected by a powerful political ring. He turned in his star and the mayor called in the city attorney to discuss the proposition. That night the Eel pulled two more sensational jobs, both of them within the political group declared by the former police chief to be shielding criminals. This proved the Eel to be a free lance and outside the clique. This political clique was cutting close to the mayor’s pockets and the mayor knew it. So the Eel became the object of nets thrown out by the mayor’s forces and the opposition political ring as well. The mayor’s daughter Cordelia (Myers), blonde, pretty, intelligent and adventuresome, took the matter of helping her father into her own hands and an interview was arranged with the Eel through the personal columns of the morning paper. That night found the Eel and the mayor’s daughter in the home of the head of the political group which sought the Eel. The Eel desired certain papers, he told the girl, which should present a clear expose of the mayor’s opposition and the graft involved. But the Eel, clever as he appeared to be, seemed to have pulled a faux pas. Three men stepped into the room and he and the girl were trapped on a neat count of burglary and in a wonderful position for a blackmail shakedown. But the Eel had only begun to take action to end the graft and win her heart.",Irving Cummings,,Richard Goodall,,Herbert Rawlinson/ Kathleen Myers/ Edwards Davis/ Henry Herbert/ Arthur Stuart Hull/ William Conklin,Charles J. Stumar,,,,Universal Pictures,"March 10, 1924",50 minutes,,
Stormy Weathers (film),Mystery,"An Italian aristocrat hires detective Samantha Weathers (Cybill Shepherd) to uncover the details of an old inheritance issue.  The more she looks, the more complicated the case becomes.
A female private eye's investigation into the disappearance of an Italian aristocrat reveals an underhand plot involving drug smuggling, murder and corruption in high places. Adventure, starring Cybill Shepherd, Charlie Schlatter and Robert Beltran.",Will Mackenzie,Stephan Blom-Cooper/ V. Phipps-Wilson/ Gerald Ayres,,,Cybill Shepherd,Robert Draper,,David Bell,,,,95 minutes,,
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Mystery,"During the unmasking of a bank-robbing clown, Scooby-Doo hears a strange noise and is driven to dance and then runs away. Meanwhile, Courage appears to be having the same problem, though Muriel and Eustace Bagge don't seem to notice. The gang rushes after Scooby only to find that they have ended up in Nowhere, where a group of hostile cicadas is surrounding Courage and Scooby. After killing the cicadas, they are called inside the Bagge household and they properly meet Muriel and Eustace.
Both the Scooby gang and the Bagge family are invited to dinner with the Mayor of Nowhere, but on the way there, Scooby and Courage are attacked by a giant Cicada Queen, resulting in the destruction of Eustace's truck. Arriving at the Mayor's mansion, the Mayor offers to give them a tour of an attached museum detailing Nowhere's bizarre history of attracting weirdness to the town. However, Shaggy, Scooby and Courage look for something to eat, while Eustace heads back to the Bagge residence to rid himself of the nuisance. An attack by the Cicada Queen and her brood knocks Fred, Daphne, Velma and Muriel into a hidden cave, where they discover a strange machine randomly sending out cellphone calls; Shaggy, Scooby and Courage destroy it while escaping the Cicada Queen.
Attempting to return to the Bagge residence to unravel the mystery, the group is once again attacked by the Cicada Queen, which kidnaps most of them, leaving only Scooby and Courage behind. Plugging Velma's personal tablet into Courage's computer, they discover that the cicada's unnatural size (and every other strange encounter Courage dealt with) was the result of a dark matter meteor (the one presumably to have wiped out the dinosaurs), which is buried under the spot where the Bagge house is. Courage and Scooby retrieve the meteor and rescue their friends, but their attempt to escape is thwarted by the Cicada Queen, who takes the meteor and holds Muriel hostage, forcing Courage to face his fears and confront it. After a long battle, the Cicada Queen is trapped under scraps from the Bagge windmill.
The General and the Lieutenant soon arrive to apprehend the Cicada Queen, which is revealed to be a mech piloted by two of Courage's most recurring enemies: villainous feline mastermind Katz and French con artist duck Le Quack. After discovering the meteor's existence, they teamed up to take over Nowhere's political facilities and to use the resources to dig up the meteor to hypnotize and rob several well off locals, stashing it at the Bagge residence (Eustace discovered this earlier, but wrote it off as a windfall on his end); when they learned the Scooby gang was in the area, they used the meteor to brainwash the local cicada population to scare them off in an attempt to ""up their game"". The General attempts to secure the meteor to be used ostensibly as a weapon, but, at Courage's suggestion, it is turned into a disco ball so the group can celebrate. Therefore, he closes the movie by saying ""Well, goodnight, folks. Bye!"", bidding the audience farewell.",Cecilia Aranovich Hamilton,Michael F. Ryan,,Cecilia Aranovich Hamilton/ Sam Register (executive producer),Frank Welker/ Grey Griffin/ Matthew Lillard/ Kate Micucci/ Jeff Bergman/ Marty Grabstein/ Thea White,,Dave Courter,Jody Gray/ Andy Ezrin,,Warner Bros. Home Entertainment (Studio Distribution Services),"September 14, 2021",72 minutes,,
Strange Cargo (1929 film),Mystery,"On board a yacht sailing from India to Britain, the owner of the vessel is murdered by one of the passengers.",Arthur Gregor,Benjamin Glazer / Horace Jackson / John W. Krafft / Melchior Lengyel,,Benjamin Glazer,Lee Patrick / June Nash / George Barraud,Arthur C. Miller,Jack Ogilvie / Paul Weatherwax,,,Pathé Exchange,"March 21, 1929",75 minutes,,
Strange Illusion,Mystery,A college student has a recurrent dream that leads him to suspect there is something sinister about his widowed mother's suitor.,Edgar G. Ulmer,,Fritz Rotter,Leon Fromkess,Jimmy Lydon/ Warren William/ Sally Eilers,"Philip Tannura,/ Eugen Schüfftan (uncredited)",Carl Pierson,Leo Erdody,,Producers Releasing Corporation,"March 31, 1945",87 minutes,,
Strangers on a Train (film),Mystery,"Amateur tennis star Guy Haines wants to divorce his promiscuous wife Miriam so he can marry Anne Morton, the daughter of a US Senator. On a train, wealthy smooth-talking psychopath Bruno Antony recognizes Haines and reveals his idea for a murder scheme: two strangers meet and ""swap murders"" — Bruno suggests he kill Miriam and Guy kill Bruno's hated father. Each will murder a stranger, with no apparent motive, so neither will be suspected. Guy humors Bruno by pretending to find his idea amusing, but is so eager to get away from Bruno that he leaves behind his engraved cigarette lighter.
Guy meets with Miriam, who is pregnant by someone else, at her workplace in Metcalf, their hometown. Miriam informs Guy that she no longer wants to end their marriage. She threatens to claim that he is the father, in order to thwart any divorce attempt. That evening, Bruno follows Miriam to an amusement park and strangles her while Guy is on the train to Washington. When Guy arrives home, Bruno informs him Miriam is dead and insists that he must now honor their deal.
Guy goes to the Mortons' home, where Anne's father informs Guy that his wife has been murdered. Anne's sister Barbara says that the police will think that Guy is the murderer since he has a motive. The police question Guy, but cannot confirm his alibi: a professor Guy met on the train was so drunk that he cannot remember their encounter. The police assign an escort to watch him.
Bruno follows Guy around Washington, introduces himself to Anne, and appears at a party at Senator Morton's house. To amuse another guest, Bruno playfully demonstrates how to strangle a woman. His gaze falls upon Barbara, whose appearance resembles Miriam's. This triggers a flashback; Bruno compulsively squeezes the woman's neck, and other guests intervene to stop him from strangling her to death. Barbara tells Anne that Bruno was looking at her while strangling the other woman, and Anne realizes Barbara's resemblance to Miriam. Her suspicions aroused, Anne confronts Guy, who tells her the truth about Bruno's scheme.
Bruno sends Guy a package containing a pistol, a house key, and a map showing the location of his father's bedroom. Guy creeps into Bruno's father's room to warn him of his son's murderous intentions, but instead finds Bruno there waiting for him. Guy tries to persuade Bruno to seek psychiatric help, but Bruno threatens to punish Guy for breaking their deal.
Anne visits Bruno's home and tries explaining to his befuddled mother that her son is a murderer. Bruno mentions Guy's missing cigarette lighter to Anne and claims that Guy asked him to search the murder site for it. Guy infers that Bruno intends to plant it at the scene of the murder and incriminate him. After winning a tennis match, Guy evades the police escort and heads for the amusement park to stop Bruno.
When Bruno arrives at the amusement park, a carnival worker recognizes him from the night of the murder; he informs the police, who think he has recognized Guy. After Guy arrives, he and Bruno fight on the park's carousel. Believing that Guy is trying to escape, a police officer shoots at him, but instead kills the carousel operator, causing the carousel to spin out of control. A carnival worker crawls underneath it and applies the brakes too abruptly, causing the carousel to spin off its support, trapping the mortally injured Bruno underneath. The worker who called the police tells them that Bruno, not Guy, is the one he remembers seeing the night of the murder. As Bruno dies, his fingers unclench to reveal Guy's lighter in his hand. Realizing that Guy is not the murderer, the police ask him to come to the station to tie up loose ends.
Sometime later, another stranger on a train attempts to strike up conversation with Guy in the same way as had Bruno. Guy and Anne coldly walk away from him.",Alfred Hitchcock,,,Alfred Hitchcock,Farley Granger/ Ruth Roman/ Robert Walker/ Leo G. Carroll,Robert Burks,William H. Ziegler,Dimitri Tiomkin,,Warner Bros.,"June 30, 1951",101 minutes,$1.6 million,$7 million
Strategy of Terror,Mystery,"A reporter (Barbara Rush) uncovers a plan to assassinate four United Nations (UN) representatives by a right-wing extremist (Neil Hamilton), but no one will believe her, until one New York City cop (Hugh O'Brian teams up with her to uncover the conspiracy.",Jack Smight,Robert L. Joseph,,Arthur H. Nadel,Hugh O'Brian/ Barbara Rush/ Neil Hamilton/ Harry Townes,Bud Thackery,Sam E. Waxman,Lyn Murray,,Universal Pictures,"January 1, 1969",90 minutes,,
The Studio Murder Mystery,Mystery,"Richard Hardell, an actor who has had many affairs, is murdered at a movie studio. His jealous wife Blanche, his director Rupert Borka, and a girl he mistreated, Helen MacDonald, all have reasons for wanting him dead.",Frank Tuttle,,,Victor D. Voyda,Neil Hamilton/ Doris Hill/ Warner Oland/ Fredric March/ Chester Conklin/ Florence Eldridge/ Guy Oliver,Victor Milner,Merrill G. White,Karl Hajos,,Paramount Pictures,"June 1, 1929",62 minutes,,
